代號,名稱,分類,狀態,檢核結果,警示
2897,王道銀行,A.外投同買3天 / B.投信連買4天 / C.外資連買5天,✅ 通過,✓ 營收YoY成長55.7% | 季增率QoQ(22.2%) | ✓ 5年EPS均為正 | ✓ 連續5年發股利 | 法人本日買超比72.57% | ✓ 融資使用率0.3%,-
2923,鼎固-KY,C.外資連買5天,✅ 通過,✓ 營收YoY成長481.1% | 季增率QoQ(508.6%) | ❌ 5年內有EPS虧損 | ✓ 連續5年發股利 | 法人本日買超比53.74%,-
3045,台灣大,C.外資連買5天,✅ 通過,✓ 營收YoY成長4.2% | 季增率QoQ(24.4%) | ✓ 5年EPS均為正 | ✓ 連續5年發股利 | 法人本日買超比50.31% | ✓ 融資使用率0.1%,-
3055,蔚華科,C.外資連買5天,✅ 通過,✓ 營收YoY成長44.4% | 季增率QoQ(29.6%) | ❌ 5年內有EPS虧損 | ✓ 連續5年發股利 | 法人本日買超比48.13%,⚠️ 融資使用率20.8%
6115,鎰勝,C.外資連買5天,✅ 通過,✓ 營收YoY成長36.0% | 季增率QoQ(8.6%) | ✓ 5年EPS均為正 | ✓ 連續5年發股利 | 法人本日買超比42.67% | ✓ 融資使用率0.2%,-
2945,三商家購,C.外資連買5天,✅ 通過,✓ 營收YoY成長1.9% | ✓ 5年EPS均為正 | ✓ 連續5年發股利 | 法人本日買超比41.77%,警示季增率QoQ為負(-1.7%)
1227,佳格,B.投信連買4天,✅ 通過,✓ 營收YoY成長16.1% | 季增率QoQ(22.3%) | ✓ 5年EPS均為正 | ✓ 連續5年發股利 | 法人本日買超比41.66% | ✓ 融資使用率0.5%,-
2548,華固,C.外資連買5天,✅ 通過,✓ 營收YoY成長34609.6% | 季增率QoQ(278.5%) | ❌ 5年內有EPS虧損 | ✓ 連續5年發股利 | 法人本日買超比39.44% | ✓ 融資使用率1.8%,-
2379,瑞昱,A.外投同買3天 / B.投信連買4天,✅ 通過,✓ 營收YoY成長14.4% | 季增率QoQ(6.8%) | 🔥 月營收創歷史新高 | ✓ 5年EPS均為正 | ✓ 連續5年發股利 | 法人本日買超比37.58% | ✓ 融資使用率2.5%,-
3008,大立光,C.外資連買5天,✅ 通過,✓ 營收YoY成長11.1% | ✓ 5年EPS均為正 | ✓ 連續5年發股利 | 法人本日買超比37.01% | ✓ 融資使用率2.2%,警示季增率QoQ為負(-11.1%)
2420,新巨,C.外資連買5天,✅ 通過,✓ 營收YoY成長9.7% | 季增率QoQ(10.6%) | ✓ 5年EPS均為正 | ✓ 連續5年發股利 | 法人本日買超比36.30% | ✓ 融資使用率1.3%,-
8070,長華*,B.投信連買4天,✅ 通過,✓ 營收YoY成長21.7% | 季增率QoQ(4.7%) | ✓ 5年EPS均為正 | ✓ 連續5年發股利 | 法人本日買超比35.72% | ✓ 融資使用率3.7%,-
2025,千興,C.外資連買5天,✅ 通過,✓ 營收YoY成長174.2% | 季增率QoQ(56.8%) | ❌ 5年內有EPS虧損 | 法人本日買超比34.78%,-
2433,互盛電,C.外資連買5天,✅ 通過,✓ 營收YoY成長3.2% | 季增率QoQ(4.1%) | ✓ 5年EPS均為正 | ✓ 連續5年發股利 | 法人本日買超比32.52% | ✓ 融資使用率0.0%,-
1235,興泰,C.外資連買5天,✅ 通過,✓ 營收YoY成長177.2% | 季增率QoQ(2.2%) | ❌ 5年內有EPS虧損 | ✓ 連續5年發股利 | 法人本日買超比28.85% | ✓ 融資使用率1.8%,-
