stock_id,date,cash_dividend,stock_dividend
1101,2017-07-31,1.45,0.0
1101,2018-08-01,1.5,1.0
1101,2018-11-26,0.0,0.0
1101,2019-08-19,3.30513111,0.70108841
1101,2020-08-18,2.50081632,0.50016326
1101,2021-08-18,3.36811984,0.0
1101,2022-07-27,0.99928258,0.99928258
1101,2023-07-17,0.49971973,0.0
1101,2024-07-07,1.0,0.0
1101,2025-07-08,1.0,0.0
1102,2017-09-05,0.9,0.0
1102,2018-09-05,1.2,0.0
1102,2019-07-30,2.8,0.0
1102,2020-07-29,3.0,0.0
1102,2021-08-11,3.46283787,0.0
1102,2022-08-03,3.39965914,0.0
1102,2023-07-26,2.29958798,0.0
1102,2024-07-26,2.1,0.0
1102,2025-07-23,2.2,0.0
1103,2017-08-30,0.2,0.0
1103,2018-08-11,0.5,0.0
1103,2019-09-04,1.0,0.0
1103,2020-07-29,1.0018628,0.0
1103,2021-09-14,1.39596118,0.0
1103,2022-08-10,0.65,0.0
1103,2023-08-02,0.3,0.2
1103,2024-07-24,0.5,0.0
1103,2025-07-31,0.55109766,0.0
1104,2017-07-22,1.2,0.3
1104,2018-07-16,1.1,0.0
1104,2019-07-21,1.0,0.0
1104,2020-07-24,1.0,0.0
1104,2021-08-22,1.1,0.0
1104,2022-08-01,1.0,0.0
1104,2023-07-29,1.5,0.3
1104,2024-07-22,1.8,0.2
1104,2025-07-01,1.7,0.0
1108,2017-08-01,0.6,0.0
1108,2020-09-04,0.15,0.0
1108,2021-09-03,0.7,0.0
1108,2022-09-03,0.6,0.0
1108,2023-09-03,0.8,0.0
1108,2024-09-03,1.0,0.0
1108,2025-07-31,0.75,0.0
1109,2017-07-09,0.1,0.0
1109,2018-07-23,0.1,0.0
1109,2019-07-22,0.8,0.0
1109,2020-07-24,1.1,0.0
1109,2021-08-09,1.5,0.0
1109,2022-08-10,1.503513,0.0
1109,2023-07-21,0.8,0.0
1109,2024-07-25,1.2,0.0
1109,2025-07-24,0.9,0.0
1110,2017-07-28,0.1,0.0
1110,2018-07-27,0.1,0.0
1110,2019-07-26,0.1,0.0
1110,2020-08-02,0.1,0.0
1110,2021-09-20,0.1,0.0
1110,2022-07-27,0.2,0.0
1110,2023-08-01,0.1,0.0
1110,2024-07-22,0.2,0.0
1110,2025-07-18,0.3,0.0
1201,2019-08-05,0.8,0.0
1201,2020-07-27,1.3339,0.0
1201,2021-09-13,0.53,0.0
1201,2022-08-01,0.501,0.0
1201,2023-07-24,0.238,0.0
1201,2024-07-30,0.266,0.0
1201,2025-07-29,0.5,0.0
1203,2017-09-05,1.0,0.0
1203,2018-09-05,1.3,0.0
1203,2019-09-10,1.0,0.0
1203,2020-09-09,1.0,0.0
1203,2021-09-08,1.1,0.0
1203,2022-09-08,1.1,0.0
1203,2023-09-07,1.1,0.0
1203,2024-09-12,1.1,0.0
1203,2025-09-11,1.2,0.0
1210,2017-09-04,1.5,0.0
1210,2018-09-11,2.0,0.7
1210,2019-09-02,1.5,0.5
1210,2020-09-05,2.2,0.0
1210,2021-08-29,2.7,0.3
1210,2022-04-23,1.5,0.0
1210,2022-09-05,0.0,0.5
1210,2023-07-17,1.5,0.0
1210,2024-08-09,2.2223535,0.0
1210,2025-08-16,2.82844991,0.0
1213,2025-07-04,0.35,0.0
1215,2017-07-09,3.0,0.0
1215,2018-07-18,3.0,0.0
1215,2019-07-21,3.0,0.0
1215,2020-07-05,4.0,0.0
1215,2021-07-04,4.5,0.0
1215,2022-07-11,3.0,0.0
1215,2022-08-31,0.0,1.0
1215,2023-09-20,3.5,0.0
1215,2024-07-02,5.5,0.0
1215,2025-06-03,4.5,0.0
1216,2017-08-11,2.1,0.0
1216,2018-08-10,5.5,0.0
1216,2019-08-09,2.5,0.0
1216,2020-08-14,2.5,0.0
1216,2021-09-17,2.7,0.0
1216,2022-08-11,2.7,0.0
1216,2023-08-11,3.15,0.0
1216,2024-08-09,3.0,0.0
1216,2025-08-08,3.0,0.0
1217,2022-07-18,0.3,0.0
1217,2023-04-15,0.4,0.0
1217,2024-04-27,0.23,0.0
1217,2025-05-01,0.37,0.0
1218,2017-12-03,0.0,0.0
1218,2018-07-29,0.4,0.0
1218,2019-06-18,0.8,0.0
1218,2020-06-15,0.9,0.0
1218,2021-09-28,1.4,0.0
1218,2022-07-01,1.0,0.0
1218,2023-07-10,0.56985663,0.0
1218,2025-07-02,1.35,0.0
1219,2017-07-28,0.3,0.1
1219,2018-07-24,0.3,0.0
1219,2019-07-24,0.1,0.0
1219,2020-07-14,0.40045266,0.0
1219,2021-08-22,1.0,0.0
1219,2022-07-12,1.1,0.0
1219,2023-07-17,0.5,0.3
1219,2024-07-03,0.5,0.0
1219,2024-07-09,0.0,0.3
1219,2025-06-17,0.5,0.0
1220,2017-07-15,0.65,0.0
1220,2018-07-24,0.4,0.0
1220,2019-07-29,0.46,0.0
1220,2020-08-03,0.6,0.0
1220,2021-08-30,1.0,0.0
1220,2022-07-25,1.0,0.0
1220,2023-07-17,0.2,0.0
1220,2024-07-21,0.4,0.0
1220,2025-07-22,0.7,0.0
1225,2017-08-15,1.25,0.0
1225,2018-07-28,1.25,0.0
1225,2019-08-31,1.15,0.0
1225,2020-08-18,1.3,0.0
1225,2021-09-01,1.4,0.0
1225,2022-09-03,1.6,0.0
1225,2023-09-03,1.5,0.5
1225,2024-09-03,1.4,0.0
1225,2025-09-30,0.14,0.55
1227,2017-08-27,1.6,0.4
1227,2018-08-06,2.0,0.0
1227,2019-07-24,2.5,0.0
1227,2020-07-22,2.65,0.0
1227,2021-08-01,2.5,0.0
1227,2022-07-27,1.9,0.0
1227,2023-07-26,1.29,0.0
1227,2024-07-24,1.25,0.0
1227,2025-07-23,1.4,0.0
1229,2017-09-02,1.6,0.5
1229,2018-09-02,1.8,1.0
1229,2019-09-04,1.6,0.5
1229,2020-08-18,1.6,1.6
1229,2021-04-28,1.7,0.0
1229,2021-10-02,0.0,1.0
1229,2022-04-29,1.8,0.0
1229,2022-09-05,0.0,0.5
1229,2023-08-01,1.3,0.7
1229,2024-08-03,1.3,0.8
1229,2025-07-30,1.3,0.5
1231,2017-09-03,1.75,0.45
1231,2018-09-02,1.4,0.4
1231,2019-09-04,1.8,0.5
1231,2020-08-03,1.6,0.5
1231,2021-08-08,1.6,0.0
1231,2021-08-28,0.0,1.0
1231,2022-07-10,1.5,1.1
1231,2023-07-19,1.6,1.0
1231,2024-08-11,1.6,1.0
1231,2025-08-27,1.6,1.0
1232,2017-07-11,5.0,0.0
1232,2018-07-22,5.0,0.0
1232,2019-07-16,5.0,0.0
1232,2020-07-15,5.0,0.0
1232,2021-08-30,6.0,0.0
1232,2022-07-03,6.0,0.0
1232,2023-07-03,6.0,0.0
1232,2024-07-23,6.6,0.0
1232,2025-06-17,7.0,0.0
1233,2017-07-17,1.6,0.0
1233,2018-07-16,2.25,0.0
1233,2019-07-16,1.9,0.0
1233,2020-07-18,1.6,0.0
1233,2021-09-12,0.8,0.0
1233,2022-07-18,0.7999999999999999,0.0
1233,2023-07-19,0.85,0.0
1233,2024-07-16,0.9,0.0
1233,2025-07-22,0.95,0.0
1234,2017-07-31,2.0,0.0
1234,2018-07-31,1.5,0.0
1234,2019-07-31,1.6,0.0
1234,2020-07-24,1.7,0.0
1234,2021-08-30,1.8,0.0
1234,2022-07-30,1.7,0.0
1234,2023-07-16,1.8,0.0
1234,2024-07-07,1.9,0.0
1234,2025-07-06,1.9,0.0
1235,2018-11-19,0.0,4.5
1235,2019-11-22,0.0,1.25
1235,2020-12-21,0.55,0.55
1235,2021-12-19,1.5,0.0
1235,2022-09-05,1.0,2.8
1235,2023-09-05,1.0,1.2
1235,2024-09-06,0.5,0.5
1235,2025-10-17,0.5,2.0
1236,2017-07-16,0.3,0.0
1236,2018-07-15,0.1,0.0
1236,2019-07-23,0.4,0.0
1236,2020-07-20,0.3,0.0
1236,2021-07-19,0.2,0.0
1236,2022-07-25,0.5,0.0
1236,2023-07-19,1.0,0.0
1236,2024-07-26,0.65,0.0
1236,2025-07-18,0.6,0.0
1256,2017-06-07,4.2,0.0
1256,2017-07-18,0.0,0.0
1256,2018-07-14,5.0,0.0
1256,2019-07-23,6.2,1.0
1256,2020-07-20,6.2,0.0
1256,2021-08-11,12.0,0.0
1256,2022-07-30,13.0,0.0
1256,2023-07-25,6.5,0.0
1256,2024-07-23,6.6,0.0
1256,2025-07-22,4.7,0.0
1256,2025-10-13,0.0,0.0
1301,2017-07-18,4.6,0.0
1301,2018-07-17,5.7,0.0
1301,2019-07-08,5.8,0.0
1301,2020-07-08,4.4,0.0
1301,2021-08-07,2.4,0.0
1301,2022-07-11,8.2,0.0
1301,2023-07-03,4.2,0.0
1301,2024-07-29,1.0,0.0
1301,2025-07-21,0.5,0.0
1303,2017-07-24,4.5,0.0
1303,2018-07-16,5.1,0.0
1303,2019-07-09,5.0,0.0
1303,2020-07-13,2.2,0.0
1303,2021-08-03,2.4,0.0
1303,2022-07-12,7.5,0.0
1303,2023-07-05,3.0,0.0
1303,2024-07-23,0.7,0.0
1303,2025-07-28,0.7,0.0
1304,2017-08-04,0.5,0.2
1304,2018-08-03,0.3,0.2
1304,2019-08-02,0.3,0.0
1304,2020-07-29,0.5,0.0
1304,2021-08-02,1.0,0.0
1304,2022-08-05,2.2,0.0
1304,2023-08-04,0.7,0.0
1304,2024-08-02,0.35,0.0
1304,2025-08-01,0.2,0.0
1305,2017-08-04,1.7,0.3
1305,2018-08-03,1.5,0.3
1305,2019-08-02,1.5,0.4
1305,2020-07-29,0.5,0.5
1305,2021-09-10,1.8,0.5
1305,2022-08-05,2.5,0.0
1305,2023-08-04,0.3,0.0
1305,2024-08-02,0.35,0.0
1305,2025-08-01,0.15,0.0
1307,2017-07-02,2.2,0.0
