日期,代號,名稱,分類,今日投信,今日外資,買超比率
2026-06-26,8046,南電,A.外投同買3天 / B.投信連買4天,2199042.0,3130115.0,12.8
2026-06-26,5880,合庫金,A.外投同買3天 / B.投信連買4天,272038.0,837407.0,8.56
2026-06-26,2542,興富發,A.外投同買3天 / B.投信連買4天,125000.0,3140534.0,48.32
2026-06-26,6446,藥華藥,A.外投同買3天 / B.投信連買4天,116000.0,73647.0,6.09
2026-06-26,2610,華航,A.外投同買3天 / B.投信連買4天,40000.0,3664355.0,2.57
2026-06-26,3533,嘉澤,A.外投同買3天 / B.投信連買4天,27000.0,20620.0,-0.59
2026-06-26,2492,華新科,A.外投同買3天 / B.投信連買4天,4000.0,503681.0,-4.76
2026-06-26,2892,第一金,B.投信連買4天,20870448.0,-16829237.0,11.37
2026-06-26,1402,遠東新,B.投信連買4天,15870544.0,-11792861.0,16.3
2026-06-26,2845,遠東銀,B.投信連買4天,12134000.0,-9810628.0,11.46
2026-06-26,2633,台灣高鐵,B.投信連買4天,11229000.0,-11286018.0,-0.42
2026-06-26,5876,上海商銀,B.投信連買4天,10004000.0,-6626025.0,22.85
2026-06-26,2344,華邦電,B.投信連買4天,8023085.0,-18445690.0,-4.49
2026-06-26,2890,永豐金,B.投信連買4天,6708224.0,415717.0,21.2
2026-06-26,2886,兆豐金,B.投信連買4天,5646897.0,-5466200.0,7.33
2026-06-26,2884,玉山金,B.投信連買4天,3717812.0,-17608559.0,-28.69
2026-06-26,2408,南亞科,B.投信連買4天,3698373.0,-519501.0,0.38
2026-06-26,1303,南亞,B.投信連買4天,3627959.0,-1013815.0,-4.31
2026-06-26,3231,緯創,B.投信連買4天,3593575.0,-22367854.0,-44.06
2026-06-26,4904,遠傳,B.投信連買4天,3365512.0,-3866902.0,3.29
2026-06-26,2412,中華電,B.投信連買4天,3184199.0,-8061422.0,-25.7
2026-06-26,2377,微星,B.投信連買4天,3180000.0,1512497.0,29.68
2026-06-26,2504,國產,B.投信連買4天,2887568.0,1137000.0,39.63
2026-06-26,2382,廣達,B.投信連買4天,2613258.0,-1215989.0,7.69
